gap_bucket,bets,roi,accuracy,bucket_label
<1,29923,-0.054608829328610095,0.5198008221100825,<1
1-2,24920,-0.05103410914927769,0.5573434991974318,1-2
2-3,18099,-0.04800099453008454,0.5918006519697221,2-3
3-4,11560,-0.04550692041522491,0.6166955017301038,3-4
4-5,6565,-0.03227265803503428,0.6402132520944402,4-5
5-7,5167,-0.012721114766789237,0.6632475324172634,5-7
7-10,1381,0.04200579290369298,0.7103548153511948,7-10
10+,156,0.11262820512820514,0.7371794871794872,10+
