event_id,player_name_odds,player_key,line_points,line,commence_time,event_home_team,event_away_team,over_price,under_price,all_bookmaker_titles,bookmaker_count,person_id,team_id,q10,q50,q90,selection_side,selection_distance,tail_distance,selection_ratio,model_recommendation,pick_odds,is_recommended
0cab123e90bdf5d1d144a7e26ebc339c,Toumani Camara,toumani camara,9.5,9.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.69,2.1,"FanDuel, BetRivers, Bovada",3.0,1641739,1610612757,5.6506166,13.360838,23.111673,,3.860837936401367,13.611673355102539,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Shaedon Sharpe,shaedon sharpe,8.5,8.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.85,1.91,"FanDuel, BetOnline.ag",2.0,1631101,1610612757,5.3353124,13.131483,23.167444,,4.63148307800293,14.667444229125977,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Keldon Johnson,keldon johnson,8.5,8.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.97,1.8,"FanDuel, BetOnline.ag",2.0,1629640,1610612759,6.0574064,14.252654,24.646132,,5.752654075622559,16.14613151550293,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Robert Williams,robert williams,6.5,6.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.87,1.87,"BetRivers, Bovada, BetMGM",3.0,,,,,,,,,,push,,False
0cab123e90bdf5d1d144a7e26ebc339c,Julian Champagnie,julian champagnie,9.5,9.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.05,1.71,"BetRivers, Bovada, BetMGM",3.0,1630577,1610612759,2.0248694,8.341661,16.851648,,1.1583385467529297,7.351648330688477,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Scoot Henderson,scoot henderson,13.5,13.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.62,2.2,"BetRivers, Bovada",2.0,1630703,1610612757,5.823119,13.928503,24.227459,,0.42850303649902344,10.727458953857422,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,De'Aaron Fox,de aaron fox,18.5,18.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.2,1.62,"BetRivers, Bovada",2.0,1628368,1610612759,9.471695,19.04034,30.483603,,0.5403404235839844,11.983602523803711,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Dylan Harper,dylan harper,11.5,11.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.95,1.77,"BetRivers, Bovada, BetMGM",3.0,1642844,1610612759,2.7143333,9.356781,18.266779,,2.143218994140625,6.766778945922852,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Victor Wembanyama,victor wembanyama,29.5,29.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.2,1.62,"BetRivers, Bovada",2.0,1641705,1610612759,16.127165,28.707066,42.720596,,0.7929344177246094,13.220596313476562,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Stephon Castle,stephon castle,16.5,16.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.67,2.15,"BetRivers, Bovada",2.0,1642264,1610612759,7.376091,15.374102,25.127283,,1.1258983612060547,8.627283096313477,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Jrue Holiday,jrue holiday,17.5,17.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.05,1.74,"BetRivers, Bovada",2.0,201950,1610612757,8.717622,17.867876,28.977121,,0.3678760528564453,11.477121353149414,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Devin Vassell,devin vassell,13.5,13.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.05,1.74,"BetRivers, Bovada",2.0,1630170,1610612759,5.334508,13.174791,23.25045,,0.3252086639404297,9.750450134277344,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Victor Wembanyama,victor wembanyama,26.5,26.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.83,1.9,"BetRivers, Bovada, BetMGM",3.0,1641705,1610612759,16.127165,28.707066,42.720596,,2.2070655822753906,16.220596313476562,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Stephon Castle,stephon castle,18.5,18.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.05,1.74,"BetRivers, Bovada",2.0,1642264,1610612759,7.376091,15.374102,25.127283,,3.1258983612060547,6.627283096313477,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Deni Avdija,deni avdija,24.5,24.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.1,1.69,"BetRivers, Bovada",2.0,1630166,1610612757,12.688437,23.515926,36.033005,,0.9840736389160156,11.533004760742188,,under,,False
